reference,topic,model,svris_status,svris_reference,field_title,field_authors,field_year,field_venue,field_id,candidate_title,candidate_authors,candidate_year,candidate_venue,candidate_doi,candidate_url,candidate_source,candidate_matches,candidate_contradictions,candidate_contains,candidate_absent,candidate_unconfirmed,cmp_title_citation,cmp_title_candidate,cmp_authors_citation,cmp_authors_candidate,cmp_year_citation,cmp_year_candidate,cmp_venue_citation,cmp_venue_candidate,cmp_id_citation,cmp_id_candidate,match_set_size,contained_set_size,total_candidates,sources_queried,processing_time_ms,svris_message,score,error_distance
"Adebayo, O. A., & Oyedele, M. O. (2017). Biometric voter registration in Nigeria: Challenges and opportunities. *Journal of Information Technology & Politics*, *14*(3), 210–225. https://doi.org/10.1080/19331681.2017.1323345",Biometric voter registration,qwen3_14b_think,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article was found for the reference by Adebayo and Oyedele (2017) titled ""Biometric voter registration in Nigeria: Challenges and opportunities"" in the Journal of Information Technology & Politics. The DOI provided does not resolve to a valid article, and no records with this DOI or title were found in major databases.

### Details
A search using the DOI 10.1080/19331681.2017.1323345 returned an error indicating the DOI does not exist in the DOI system. OpenAlex database searches also did not find any records matching the provided DOI, title, or authors. Additional Google Scholar queries with the title and authors did not identify a paper matching all specified details. Instead, search results included unrelated documents and titles with overlapping keywords but no exact match. This lack of matching evidence suggests the reference may contain errors or the article may not exist in accessible publication sources.

- [DOI lookup error](https://doi.org/10.1080/19331681.2017.1323345) 
- OpenAlex (no results)
- Google Scholar search results snippet summary",0.0,1.0
"Choudhury, M. A., Islam, M. R., & Rahman, M. M. (2018). Enhancing electoral integrity through biometric voter registration: A case study of Bangladesh. *International Journal of Information Management*, *38*(4), 456–465. https://doi.org/10.1016/j.ijinfomgt.2017.11.008",Biometric voter registration,qwen3_14b_think,needs-human,Reference requires human review.,CONTRADICTION,CONTRADICTION,CONTAINS,MATCH,MATCH,Managing the “Fuzzy front end” of open digital service innovation in the public sector: A methodology,Mary Tate; Ivano Bongiovanni; Marek Kowalkiewicz; Peter Townson,2017,International Journal of Information Management,10.1016/j.ijinfomgt.2017.11.008,https://doi.org/10.1016/j.ijinfomgt.2017.11.008,GOOGLE,2,2,1,0,0,Enhancing electoral integrity through biometric voter registration: A case study of Bangladesh.,Managing the “Fuzzy front end” of open digital service innovation in the public sector: A methodology,"Choudhury, M. A.; Islam, M. R.; Rahman, M. M.",Mary Tate; Ivano Bongiovanni; Marek Kowalkiewicz; Peter Townson,2018,2017,International Journal of Information Management,International Journal of Information Management,10.1016/j.ijinfomgt.2017.11.008,10.1016/j.ijinfomgt.2017.11.008,0,0,1,GOOGLE,0,"✗ Title | ✗ Authors | ◐ Year | ✓ Venue | ✓ DOI | ✓ URL

### Summary
The reference could not be confirmed because it describes a different article than the DOI points to. The title and authors do not match the provided reference, although the journal name and year are close.

### Details
A matching record was found for the DOI 10.1016/j.ijinfomgt.2017.11.008, but this corresponds to a different article titled ""Managing the “Fuzzy front end” of open digital service innovation in the public sector: A methodology"" authored by Mary Tate, Ivano Bongiovanni, Marek Kowalkiewicz, and Peter Townson in 2017. This differs significantly from the cited article by Choudhury, Islam, and Rahman about biometric voter registration in Bangladesh, published in 2018. The journal ""International Journal of Information Management"" matches exactly, and the year is close, but key details conflict. Online searches failed to locate the cited article with the given details.

- https://doi.org/10.1016/j.ijinfomgt.2017.11.008
- https://www.sciencedirect.com
",0.025,0.975
"Nwachukwu, C. N., & Okafor, C. O. (2016). Biometric voter registration systems in Africa: A comparative analysis. *Journal of Computer Science and Engineering*, *12*(2), 89–102. https://doi.org/10.1234/jcse.2016.12.2.89",Biometric voter registration,qwen3_14b_think,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article could be found for the reference provided. Attempts to verify the DOI, title, authors, year, and journal name did not find any corresponding record.

### Details
A search for the DOI 10.1234/jcse.2016.12.2.89 returned no results and the DOI system indicated it does not exist. A search using the article title and authors also failed to find any matching publication in the Journal of Computer Science and Engineering or elsewhere. No other candidates were found to suggest the article exists as cited.

- https://doi.org/10.1234/jcse.2016.12.2.89 (DOI check)
- OpenAlex database search
- Google search for title and authors",0.0,1.0
"Kaur, R., & Singh, A. (2019). Security and privacy challenges in biometric voter registration systems. *Journal of Cyber Security and Privacy*, *5*(1), 45–60. https://doi.org/10.1504/JCSP.2019.10023456",Biometric voter registration,qwen3_14b_think,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article was found for the reference by Kaur and Singh (2019) titled 'Security and privacy challenges in biometric voter registration systems' in the Journal of Cyber Security and Privacy. The DOI provided did not lead to any record, and no matching publication details were identified.

### Details
The DOI '10.1504/JCSP.2019.10023456' could not be found in the DOI system, returning a 404 error on query. Searches using the article's full title, authors, year, and journal name returned no relevant matches or records. No publication matching these details was found in OpenAlex or general web searches, indicating that this reference could not be verified.

- https://doi.org/10.1504/JCSP.2019.10023456
- OpenAlex
- General web search results",0.0,1.0
"Oyedele, M. O., & Adebayo, O. A. (2020). The impact of biometric voter registration on electoral fraud in sub-Saharan Africa. *Journal of Information Technology & Politics*, *17*(1), 1–18. https://doi.org/10.1080/19331681.2019.1684567",Biometric voter registration,qwen3_14b_think,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article was found for the given reference details. The DOI provided in the reference does not exist in the DOI system, and attempts to locate the article in scholarly databases and search engines did not return any confirming results.

### Details
The DOI ""10.1080/19331681.2019.1684567"" was searched but returned a 404 error indicating it does not exist or is inactive. OpenAlex searches could not find a record matching the article title, authors, or year 2020. A Google Scholar search of the article title along with the authors and year yielded no relevant matching papers, only unrelated results. This suggests that the reference could not be verified with the information and identifiers provided.

- https://doi.org/10.1080/19331681.2019.1684567
- https://openalex.org/
- https://scholar.google.com/",0.0,1.0
"Smith, J. P., & Jones, L. M. (2015). Technical evaluation of biometric voter registration systems in South Africa. *Technical Report, University of Cape Town, Department of Computer Science*.",Biometric voter registration,qwen3_14b_think,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching technical report could be found for the reference ""Technical evaluation of biometric voter registration systems in South Africa"" by Smith and Jones from 2015 at the University of Cape Town, Department of Computer Science.

### Details
A search in the OpenAlex database did not find any record matching the given title, authors, year, or institutional affiliation. Additional web searches also returned no direct evidence or documents confirming the existence of this specific technical report. Although several related documents discussing biometric systems and African digital topics appear, none match the exact citation details provided.

- https://openalex.org
- https://library.oapen.org/bitstream/handle/20.500.12657/63749/9781350324480.pdf?sequence=1&isAllowed=y
- https://open.uct.ac.za/bitstream/11427/36017/1/thesis_hum_2021_ncube%20meli.pdf
- https://www.afd.fr/sites/default/files/2018-07-01-47-55/social-safety-nets-africa.pdf
- https://www.eisa.org/storage/2023/05/2020-journal-of-african-elections-v19n1-eisa.pdf
- https://www.academia.edu/91825539/The_use_of_internet_based_technologies_in_elections_management_processes_in_South_Africa_towards_the_design_of_a_framework_a_case_example_of_the_Gauteng_Province",0.0,1.0
"Lee, H. J., & Patel, R. (2017). Biometric authentication for secure voter registration: A machine learning approach. *Proceedings of the IEEE International Conference on Biometrics: Theory, Applications, and Systems (BTAS)*, 1–6. https://doi.org/10.1109/BTAS.2017.8272890",Biometric voter registration,qwen3_14b_think,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article could be found for the reference by Lee and Patel (2017) titled ""Biometric authentication for secure voter registration: A machine learning approach."" Neither the DOI nor the title and authors matched any records in the searched academic databases.

### Details
A search using the DOI 10.1109/BTAS.2017.8272890 returned a 404 error indicating the DOI does not exist or is incorrect. Additionally, the DOI was not found in the OpenAlex database. A broader search with title and author keywords in various academic sources yielded no exact matches, only related but irrelevant publications. These combined findings strongly suggest that this reference could not be verified.

- https://doi.org/10.1109/BTAS.2017.8272890
- https://openalex.org
- Google Scholar search results",0.0,1.0
"Thompson, R. E. (2018). *Biometric voter registration systems: A comparative study of implementation challenges in developing countries*. Dissertation, University of Michigan.",Biometric voter registration,qwen3_14b_think,unverified,Reference could not be verified.,CONTRADICTION,CONTRADICTION,MATCH,CONTRADICTION,ABSENT,The Use of Automated Fingerprint Identification System in Identifying Fraudulent Voters' Registration in Lesotho,LJ Chigando,2018,search.proquest.com,,https://search.proquest.com/openview/72a300f9112adcc8f55b468a6e575ce7/1?pq-origsite=gscholar&cbl=2026366&diss=y,GOOGLE,1,3,0,1,0,Biometric voter registration systems: A comparative study of implementation challenges in developing countries,The Use of Automated Fingerprint Identification System in Identifying Fraudulent Voters' Registration in Lesotho,"Thompson, R. E.",LJ Chigando,2018,2018,University of Michigan,search.proquest.com,,https://search.proquest.com/openview/72a300f9112adcc8f55b468a6e575ce7/1?pq-origsite=gscholar&cbl=2026366&diss=y,0,0,3,GOOGLE,0,"✗ Title | ✗ Authors | ✓ Year | ✗ Venue | ○ ID

### Summary
The reference could not be verified as the information found does not match the original citation. The dissertation by Thompson, R. E. from the University of Michigan does not appear in the search results, and the closest found document was a different study by a different author.

### Details
A matching dissertation titled ""The Use of Automated Fingerprint Identification System in Identifying Fraudulent Voters' Registration in Lesotho"" by LJ Chigando from 2018 was found, but it differs in title, author, and venue from the original reference. The original citation focused on a cross-country comparative study, whereas the found document is country-specific. The year 2018 matches exactly, but due to multiple contradictions in title, authorship, and venue, the original citation remains unverified.

- https://search.proquest.com/openview/72a300f9112adcc8f55b468a6e575ce7/1?pq-origsite=gscholar&cbl=2026366&diss=y",0.0,1.0
"Gupta, S., & Sharma, R. (2021). Ethical considerations in biometric voter registration: A global perspective. *Journal of Electoral Studies*, *12*(3), 201–218. https://doi.org/10.1016/j.jes.2021.03.001",Biometric voter registration,qwen3_14b_think,unverified,Reference could not be verified.,CONTRADICTION,CONTRADICTION,MATCH,CONTRADICTION,MATCH,Synergetic degradation of Methylene Blue through photocatalysis and Fenton reaction on two-dimensional molybdenite-Fe,Chang Liu; Bingqiao Yang; Jianxin Chen; Feifei Jia; Shaoxian Song,2021,Journal of Environmental Sciences,10.1016/j.jes.2021.03.001,https://doi.org/10.1016/j.jes.2021.03.001,GOOGLE,2,3,0,0,0,Ethical considerations in biometric voter registration: A global perspective,Synergetic degradation of Methylene Blue through photocatalysis and Fenton reaction on two-dimensional molybdenite-Fe,"Gupta, S.; Sharma, R.",Chang Liu; Bingqiao Yang; Jianxin Chen; Feifei Jia; Shaoxian Song,2021,2021,Journal of Electoral Studies,Journal of Environmental Sciences,10.1016/j.jes.2021.03.001,10.1016/j.jes.2021.03.001,0,0,1,GOOGLE,0,"✗ Title | ✗ Authors | ✓ Year | ✗ Venue | ✓ DOI | ✓ URL

### Summary
No matching article could be found for the given reference. Although the year and DOI match, the title, authors, and journal do not correspond to each other, indicating that the DOI in the reference may be incorrect or associated with a different article.

### Details
A matching record was found using the DOI 10.1016/j.jes.2021.03.001, but this DOI leads to an article titled ""Synergetic degradation of Methylene Blue through photocatalysis and Fenton reaction on two-dimensional molybdenite-Fe"" published in the Journal of Environmental Sciences in 2021. The authors of this found article (Chang Liu, Bingqiao Yang, Jianxin Chen, Feifei Jia, Shaoxian Song) do not match the cited authors (Gupta, S.; Sharma, R.). Additionally, the cited journal ""Journal of Electoral Studies"" differs from the journal where the DOI leads, supporting that the citation's DOI might be incorrect. Attempts to access the URL resulted in access restrictions, but the metadata confirms this mismatch.

- https://doi.org/10.1016/j.jes.2021.03.001",0.0,1.0
"Okoye, C. N., & Nwankwo, P. U. (2016). Biometric voter registration in Nigeria: A case study of the 2015 general elections. *African Journal of Information Systems*, *8*(2), 112–129. https://doi.org/10.1504/AJIS.2016.078901",Biometric voter registration,qwen3_14b_think,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,1,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article could be found for the reference provided. The DOI and other key details such as the title, authors, year, and journal name could not be confirmed from available sources.

### Details
A search using the DOI ""10.1504/AJIS.2016.078901"" returned a 404 error indicating the DOI is not found in the official DOI system. OpenAlex also did not find any records matching this DOI, title, authors, and year. A web search for the article title and authors did not return any direct matches to this specific article or journal issue. These combined results suggest that this reference could not be verified with the current data.

- [DOI link check](https://doi.org/10.1504/AJIS.2016.078901)
- [OpenAlex search for DOI](https://openalex.org/doi.org/10.1504/AJIS.2016.078901)
- Web search results (Google)",0.0,1.0
